"","person_id","id","name","character","role"
"251",65063,"tm69997","Jeff Margolis","","DIRECTOR"
"252",6982,"tm96649","David Carradine","Cole Younger","ACTOR"
"253",10532,"tm96649","Keith Carradine","Jim Younger","ACTOR"
"254",31443,"tm96649","Robert Carradine","Bob Younger","ACTOR"
"255",16990,"tm96649","James Keach","Jesse James","ACTOR"
"256",5314,"tm96649","Stacy Keach","Frank James","ACTOR"
"257",8364,"tm96649","Dennis Quaid","Ed Miller","ACTOR"
"258",4700,"tm96649","Randy Quaid","Clell Miller","ACTOR"
"259",103549,"tm96649","Kevin Brophy","John Younger","ACTOR"
"260",11346,"tm96649","Harry Carey, Jr.","George Arthur","ACTOR"
"261",11173,"tm96649","Christopher Guest","Charlie Ford","ACTOR"
"262",6802,"tm96649","Nicholas Guest","Bob Ford","ACTOR"
"263",103550,"tm96649","Shelby Leverington","Annie Ralston","ACTOR"
"264",23528,"tm96649","Felice Orlandi","Mr. Reddick","ACTOR"
"265",37723,"tm96649","Pamela Reed","Belle Starr","ACTOR"
"266",7551,"tm96649","James Remar","Sam Starr","ACTOR"
"267",30449,"tm96649","Fran Ryan","Mrs. Samuel","ACTOR"
"268",464614,"tm96649","Savannah Smith Boucher","Zee","ACTOR"
"269",499165,"tm96649","Amy Stryker","Beth","ACTOR"
"270",236701,"tm96649","James Whitmore Jr.","Mr. Rixley","ACTOR"
"271",103745,"tm96649","John Bottoms","Mortician","ACTOR"
"272",510469,"tm96649","West Buchanan","McCorkindale","ACTOR"
"273",16449,"tm96649","Edward Bunker","Chadwell","ACTOR"
"274",510971,"tm96649","Martina Deignan","Shirley Biggs","ACTOR"
"275",14610,"tm96649","Allan Graf","Bank Customer Graf","ACTOR"
"276",2429,"tm96649","Chris Mulkey","Vernon Biggs","ACTOR"
"277",1516234,"tm96649","Thomas Myers","Gallatin Bank Cashier","ACTOR"
"278",2081617,"tm96649","Marlise Karlin","Wilhelmina","ACTOR"
"279",477781,"tm96649","Glenn Robards","Doctor","ACTOR"
"280",477969,"tm96649","Tim Rossovich","Pitts","ACTOR"
"281",12578,"tm96649","Lin Shaye","Kate","ACTOR"
"282",495571,"tm96649","Gary Watkins","Bank Teller Heywood","ACTOR"
"283",15955,"tm96649","Peter Jason","The Pinkertons","ACTOR"
"284",51314,"tm96649","Duke Stroud","The Pinkertons","ACTOR"
"285",10505,"tm96649","Steven Chambers","The Pinkertons","ACTOR"
"286",33594,"tm96649","William Traylor","The Pinkertons","ACTOR"
"287",20123,"tm96649","J. Don Ferguson","Preacher","ACTOR"
"288",2081747,"tm96649","Hugh McGraw","Singer","ACTOR"
"289",1780983,"tm96649","Prentiss Rowe","Sheriff Rowe","ACTOR"
"290",2081774,"tm96649","Stuart Mossman","Engineer","ACTOR"
"291",948516,"tm96649","Michael Lackey","Gustavson","ACTOR"
"292",2081848,"tm96649","Mitch Greenhill","Guitarist","ACTOR"
"293",76226,"tm96649","Bill Bryson","Banjo Player","ACTOR"
"294",2081927,"tm96649","Tom Sauber","Fiddle Player","ACTOR"
"295",1739250,"tm96649","Jimmy Medearis","Farmer","ACTOR"
"296",2081675,"tm96649","Edgar McLeod","Photographer","ACTOR"
"297",12108,"tm96649","Luis Contreras","Man at the Bar","ACTOR"
"298",434506,"tm96649","Kalen Keach","Little Jesse","ACTOR"
"299",2081881,"tm96649","R.B. Thrift","Archie Samuel","ACTOR"
"300",31821,"tm96649","Ry Cooder","Wedding Band Guitar Player (uncredited)","ACTOR"
"301",863658,"tm96649","George D. Miklos","Clogger (uncredited)","ACTOR"
"302",352662,"tm96649","Bill Rampley","Cowboy / Posse (uncredited)","ACTOR"
"303",5104,"tm96649","Walter Hill","","DIRECTOR"
"304",25056,"tm16479","Bing Crosby","Bob Wallace","ACTOR"
"305",60326,"tm16479","Danny Kaye","Phil Davis","ACTOR"
"306",74992,"tm16479","Rosemary Clooney","Betty Haynes","ACTOR"
"307",74993,"tm16479","Vera-Ellen","Judy Haynes","ACTOR"
"308",41874,"tm16479","Dean Jagger","General Waverly","ACTOR"
"309",27535,"tm16479","Mary Wickes","Emma Allen","ACTOR"
"310",74994,"tm16479","John Brascia","John","ACTOR"
"311",74995,"tm16479","Anne Whitfield","Susan Waverly","ACTOR"
"312",74996,"tm16479","Bea Allen","Dancer (uncredited)","ACTOR"
"313",36157,"tm16479","Frank Baker","Anniversary Party Guest (uncredited)","ACTOR"
"314",74997,"tm16479","Glen Cargyle","Jeep Driver (uncredited)","ACTOR"
"315",25098,"tm16479","George Chakiris","Dancer (uncredited)","ACTOR"
"316",100934,"tm16479","Barrie Chase","Doris Lenz (uncredited)","ACTOR"
"317",1023889,"tm16479","Lorinne Crawford","Rita (uncredited)","ACTOR"
"318",22477,"tm16479","Franklyn Farnum","Club Patron (uncredited)","ACTOR"
"319",14166,"tm16479","Bess Flowers","Club Patron (uncredited)","ACTOR"
"320",36504,"tm16479","Gavin Gordon","General Carlton (uncredited)","ACTOR"
"321",422099,"tm16479","Johnny Grant","Ed Harrison (uncredited)","ACTOR"
"322",57838,"tm16479","Percy Helton","Train Conductor (uncredited)","ACTOR"
"323",88997,"tm16479","I. Stanford Jolley","Station Master (uncredited)","ACTOR"
"324",45687,"tm16479","Sig Ruman","Landlord (uncredited)","ACTOR"
"325",132394,"tm16479","Grady Sutton","Mr. Herring (uncredited)","ACTOR"
"326",71905,"tm16479","Herb Vigran","Novello (uncredited)","ACTOR"
"327",498631,"tm16479","Robert Crosson","Albert (uncredited)","ACTOR"
"328",14797,"tm16479","Michael Curtiz","","DIRECTOR"
"329",173189,"tm135083","Farid Shawqi","Abu Siri","ACTOR"
"330",530033,"tm135083","Hind Rostom","Hanuma","ACTOR"
"331",173191,"tm135083","Youssef Chahine","Qinawi","ACTOR"
"332",1321002,"tm135083","Hassan el Baroudi","Madbouli","ACTOR"
"333",557165,"tm135083","Abdel Aziz Khalil","Abu Gaber","ACTOR"
"334",557166,"tm135083","Said Khalil","Jadallah","ACTOR"
"335",557167,"tm135083","Abdel Ghani Nagdi","Sa'idi traveller","ACTOR"
"336",557168,"tm135083","Loutfi El Hakim","","ACTOR"
"337",557169,"tm135083","Abdel Hamid Bodaoha","Shawish Hassanein","ACTOR"
"338",557170,"tm135083","F. El Demerdache","","ACTOR"
"339",557171,"tm135083","Said El Araby","","ACTOR"
"340",538017,"tm135083","Ahmed Abaza","Mansour","ACTOR"
"341",557172,"tm135083","Hana Abdel Fattah","","ACTOR"
"342",557173,"tm135083","Safia Sarwat","","ACTOR"
"343",557178,"tm135083","Asaad Kellada","(as Assaad Kellada)","ACTOR"
"344",555008,"tm135083","Naima Wasfy","Hallawatim","ACTOR"
"345",1521416,"tm135083","Sherine","","ACTOR"
"346",1521414,"tm135083","Soheir","","ACTOR"
"347",1321149,"tm135083","Esmat Mahmoud","","ACTOR"
"348",1521441,"tm135083","Nawal Morsi","","ACTOR"
"349",1521413,"tm135083","Gharib Moawad","","ACTOR"
"350",1521412,"tm135083","Mohamed Mazhar","","ACTOR"
"351",1521534,"tm135083","Galal Issa","","ACTOR"
"352",1521409,"tm135083","Mahrous El Garhi","","ACTOR"
"353",1521506,"tm135083","Ahmed El Tantawi","","ACTOR"
"354",1521407,"tm135083","S. Abdel Aziz","","ACTOR"
"355",225932,"tm135083","Nadia Lotfi","","ACTOR"
"356",2342528,"tm135083","Safia Tharwat","Halawethom","ACTOR"
